class_id	train_event_count	train_event_count_downloaded	train_file_count	train_file_count_downloaded	eval_event_count	eval_event_count_downloaded	eval_file_count	eval_file_count_downloaded
/t/dd00099	131725	128603	35759	34923	2817	2695	873	842
/m/05zppz	101509	98932	35107	34267	15746	15336	5228	5097
/m/07qjznt	57020	55811	18705	18299	3514	3465	982	966
/m/02zsn	36065	35171	14240	13917	5679	5515	2133	2069
/m/0lyf6	31606	30695	16523	16059	2893	2814	1395	1355
/m/04rlf	30930	30136	27135	26460	8304	8039	6911	6700
/t/dd00077	27411	26800	26219	25626	2545	2493	2061	2013
/m/093_4n	21162	20569	19763	19219	904	878	833	810
/t/dd00092	18834	18483	7608	7466	1703	1677	805	793
/m/020bb7	16732	16281	4838	4702	1421	1372	476	460
/m/09l8g	16211	15763	8997	8765	1005	949	512	491
/t/dd00109	15918	15590	7446	7266	442	435	206	202
/m/0c1dj	14803	14370	6160	5974	2669	2597	1156	1122
/m/07pbtc8	12699	12288	3261	3161	1895	1847	506	493
/m/01j3sz	11706	11415	6846	6664	1962	1888	1091	1055
/m/07qcpgn	11582	11358	5316	5206	4813	4709	1472	1441
/m/0ytgt	10679	10379	4247	4133	1558	1514	601	580
/m/03m9d0z	10532	10327	10191	9988	636	626	502	494
/m/0l15bq	10160	10055	2225	2186	1474	1448	349	343
/m/07pggtn	10112	9838	2774	2703	2289	2241	638	621
/t/dd00003	9769	9518	4232	4115	3344	3244	1398	1352
/m/0dgw9r	8569	8330	4839	4718	649	626	328	318
/m/07qc9xj	8054	7866	3161	3079	2253	2206	727	711
/m/07q2z82	7506	7411	3757	3699	948	940	454	451
/m/01h8n0	7436	7258	7282	7108	1104	1071	735	713
/m/02fs_r	6682	6525	2338	2280	1246	1211	381	368
/m/05tny_	6240	6045	1636	1592	547	535	161	156
/m/07p6fty	5745	5584	3467	3385	1112	1072	665	643
/t/dd00004	5291	5179	2396	2348	1912	1846	817	790
/m/01jg02	4830	4650	579	562	636	620	102	98
/m/09x0r	4501	4423	2341	2295	5152	4998	1706	1664
/m/0bzvm2	4344	4229	3614	3524	84	79	77	72
/m/0jbk	4202	4058	1668	1615	1593	1539	545	526
/m/0bt9lr	3819	3758	1164	1141	404	398	129	127
/m/032s66	3472	3363	1288	1257	359	337	141	135
/m/07qfr4h	3405	3342	3032	2974	485	471	421	408
/m/09xqv	3277	3213	716	694	409	403	157	151
/m/07s02z0	3209	3115	1364	1334	269	269	110	110
/m/03qtwd	3168	3106	3022	2964	482	470	414	403
/m/0838f	3135	3063	2706	2650	796	774	599	587
/m/01m2v	2888	2809	530	511	340	339	70	69
/m/01w250	2862	2813	1385	1359	433	405	180	170
/t/dd00112	2844	2741	941	916	502	486	165	159
/m/07qnq_y	2579	2523	1283	1251	780	767	332	327
/m/0brhx	2570	2490	1001	965	466	446	167	160
/m/0395lw	2555	2493	1017	991	507	475	228	225
/m/0l14jd	2551	2510	1341	1319	355	337	180	174
/m/03l9g	2549	2481	383	370	460	459	79	78
/m/012f08	2288	2237	2189	2139	342	335	314	308
/m/07rwm0c	2257	2236	707	697	133	131	55	53
/m/07qv4k0	2225	2148	1049	1018	288	284	120	117
/t/dd00066	2142	2113	2073	2044	350	344	322	316
/m/01b_21	2116	2082	942	923	375	373	151	149
/m/03cczk	2027	1905	473	449	274	274	64	64
/m/0k4j	1950	1923	1879	1854	313	309	279	275
/m/02rhddq	1942	1903	329	324	256	256	43	43
/m/0912c9	1930	1881	1028	998	297	275	145	141
/m/04brg2	1905	1850	558	540	249	247	74	73
/m/07st89h	1873	1755	310	282	147	139	41	38
/m/07rv9rh	1868	1838	473	465	211	211	52	52
/m/09b5t	1863	1641	566	517	116	113	58	56
/m/07r5c2p	1855	1824	505	495	234	234	76	76
/t/dd00001	1831	1802	623	609	286	284	79	77
/t/dd00005	1771	1733	622	606	421	418	143	141
/m/018w8	1768	1703	390	377	303	299	63	62
/t/dd00002	1767	1704	492	478	201	199	64	63
/t/dd00138	1765	1726	1074	1049	21	21	11	11
/m/05_wcq	1764	1711	818	786	219	215	88	86
/m/07rrlb6	1763	1712	958	937	166	161	98	94
/m/09ddx	1721	1694	387	381	203	203	44	44
/m/07jdr	1713	1687	1675	1650	127	124	119	116
/m/07q0h5t	1708	1688	698	687	293	292	97	96
/m/07rwj3x	1707	1681	1142	1125	340	335	235	231
/m/0ghcn6	1687	1650	659	645	293	287	84	82
/m/02rtxlg	1645	1578	753	727	313	307	122	121
/m/096m7z	1625	1590	1130	1103	400	389	304	293
/m/07r660_	1607	1558	986	958	119	119	68	68
/t/dd00018	1575	1508	350	338	259	250	55	54
/m/07r_25d	1570	1535	494	482	179	179	57	57
/m/07pp_mv	1558	1532	699	680	353	350	130	128
/m/06h7j	1541	1517	676	659	238	225	96	89
/m/07s0dtb	1516	1476	895	868	101	96	75	70
/m/07qjznl	1506	1474	196	195	519	519	53	53
/m/053hz1	1476	1454	1179	1161	397	390	317	311
/m/03qc9zr	1371	1331	842	820	277	253	155	142
/m/07c52	1329	1295	1293	1259	200	199	177	176
/m/0463cq4	1324	1265	524	503	244	224	94	87
/m/0261r1	1319	1252	499	479	185	184	70	69
/m/06hps	1295	1278	250	247	337	330	53	51
/m/07qwyj0	1294	1265	824	805	192	187	109	104
/m/07rbp7_	1294	1282	322	318	185	176	42	41
/m/081rb	1291	1260	317	310	130	128	39	38
/m/03vt0	1275	1259	824	813	173	170	114	111
/m/01yrx	1270	1255	444	434	135	135	48	48
/m/06bxc	1262	1248	499	494	152	143	68	65
/m/0fw86	1251	1237	261	259	131	131	22	22
/m/023pjk	1229	1200	323	315	91	91	30	30
/m/015lz1	1216	1190	727	708	738	717	393	383
/m/0284vy3	1171	1148	726	711	106	103	62	60
/m/01d3sd	1158	1128	410	398	158	154	55	54
/m/014zdl	1145	1111	822	798	192	189	128	125
/m/068zj	1140	1113	289	282	63	50	18	16
/m/04zjc	1130	1096	461	445	155	140	70	65
/m/07pczhz	1096	1092	194	191	245	245	47	47
/m/0h9mv	1061	1045	663	651	133	126	82	80
/m/0c2wf	1038	969	196	183	165	161	33	32
/m/01rd7k	1038	1007	187	182	115	115	22	22
/t/dd00141	1033	1026	351	350	70	70	18	18
/m/04gy_2	1007	1000	361	356	100	100	29	29
/g/122z_qxw	1001	980	404	395	138	138	52	52
